,AQI,PM10,O3,SO2,PM2.5,NO2,CO,降水量,平均气压,平均两分钟风速,平均气温,平均相对湿度,日期
44,164.0,137.0,55.0,38,95.4,68.0,1.6,0.5,1011.4,2.7,10.4,81.0,2015-02-14
45,131.0,104.0,45.0,25,99.0,52.0,1.6,3.0,1012.0,1.3,11.5,95.0,2015-02-15
46,139.0,162.0,56.0,24,106.0,64.0,1.9,0.0,1018.2,0.8,10.6,81.0,2015-02-16
47,191.0,161.0,127.0,31,106.3333333,63.0,1.8,0.0,1015.0,0.4,10.7,77.0,2015-02-17
48,157.0,160.0,90.0,27,106.6666667,37.0,1.6,0.3,1017.9,2.0,12.8,61.0,2015-02-18
49,140.0,123.0,70.0,25,107.0,30.0,1.2,0.4,1018.7,2.2,8.4,78.0,2015-02-19
50,60.0,42.0,53.0,11,43.0,18.0,1.0,0.5,1014.7,2.2,5.7,97.0,2015-02-20
51,108.0,76.0,70.0,15,81.0,26.0,1.1,0.6,1016.6,1.8,6.5,86.0,2015-02-21
52,161.0,109.0,42.0,16,84.66666667,34.0,1.4,1.55,1019.1,1.7,7.4,89.0,2015-02-22
53,149.0,115.0,41.0,16,88.33333333,33.0,1.5,2.5,1017.3,1.0,7.9,91.0,2015-02-23
54,121.0,94.0,40.0,16,92.0,38.0,1.5,1.8,1014.5,1.0,8.6,92.0,2015-02-24
55,98.0,74.0,27.0,14,74.0,39.0,1.4,1.44,1013.5,1.0,9.5,96.0,2015-02-25
56,66.0,47.0,23.0,15,48.0,42.0,1.2,1.08,1016.0,1.4,10.3,91.0,2015-02-26
57,60.0,40.0,48.0,13,43.0,27.0,1.1,0.72,1016.3,3.7,7.5,95.0,2015-02-27
58,31.0,18.0,62.0,10,22.0,19.0,0.7,0.36,1023.8,3.9,3.9,85.0,2015-02-28
59,83.0,68.0,68.0,19,61.0,48.0,0.9,0.0,1025.6,1.0,6.7,73.0,2015-03-01
60,101.0,86.0,69.0,25,76.0,55.0,1.1,0.0,1015.0,1.1,7.7,82.0,2015-03-02
61,111.0,173.0,87.0,21,63.0,29.0,0.8,0.0,1016.9,3.4,10.3,60.0,2015-03-03
62,66.0,82.0,78.0,23,47.0,36.0,0.9,0.0,1020.7,3.0,7.9,52.0,2015-03-04
63,65.0,57.0,67.0,18,47.0,26.0,0.7,0.0,1022.2,2.5,4.4,77.0,2015-03-05
64,134.0,109.0,68.0,23,102.0,39.0,0.9,0.0,1021.6,1.3,3.8,76.0,2015-03-06
65,109.0,96.0,89.0,28,82.0,46.0,1.1,0.0,1018.4,0.5,6.8,76.0,2015-03-07
66,88.0,81.0,58.0,28,66.0,50.0,1.0,0.0,1016.7,1.3,10.3,79.0,2015-03-08
67,134.0,115.0,96.0,26,103.0,49.0,1.1,0.0,1023.5,2.5,9.6,75.0,2015-03-09
68,204.0,136.0,73.0,23,92.5,46.0,1.2,0.0,1027.5,3.0,8.5,74.0,2015-03-10
69,108.0,113.0,55.0,27,82.0,58.0,1.1,0.0,1024.0,1.2,8.7,71.0,2015-03-11
70,91.0,114.0,97.0,26,68.0,55.0,0.9,0.0,1018.4,1.6,10.3,77.0,2015-03-12
71,108.0,143.0,82.0,41,81.0,80.0,1.3,0.0,1014.4,1.1,12.3,77.0,2015-03-13
72,113.0,134.0,40.0,32,85.0,70.0,1.3,0.0,1016.0,1.6,14.7,72.0,2015-03-14
73,142.0,127.0,24.0,29,109.0,58.0,1.5,1.9,1015.1,1.0,12.3,95.0,2015-03-15
74,109.0,95.0,52.0,26,82.0,45.0,1.4,0.0,1012.8,1.5,14.5,87.0,2015-03-16
75,57.0,52.0,27.0,26,41.0,40.0,1.5,0.466666667,1005.6,2.2,16.3,92.0,2015-03-17
76,33.0,22.0,33.0,12,23.0,28.0,1.3,0.933333333,1009.1,3.0,11.6,93.0,2015-03-18
77,58.0,50.0,41.0,15,42.0,33.0,1.3,1.4,1014.4,2.1,10.4,89.0,2015-03-19
78,64.0,47.0,66.0,13,46.0,40.0,1.2,0.7,1017.9,2.5,11.9,89.0,2015-03-20
79,96.0,106.0,98.0,20,72.0,65.0,1.2,0.0,1019.4,0.8,13.3,84.0,2015-03-21
80,96.0,137.0,116.0,30,72.0,72.0,1.4,0.0,1017.7,1.3,15.4,72.0,2015-03-22
81,98.0,147.0,122.0,26,58.0,48.0,1.0,0.0,1019.9,3.4,16.5,64.0,2015-03-23
82,96.0,142.0,96.0,29,56.0,58.0,1.1,0.0,1025.8,2.1,13.2,69.0,2015-03-24
83,80.0,109.0,128.0,36,51.0,59.0,1.0,0.0,1023.6,1.1,14.3,69.0,2015-03-25
84,68.0,79.0,89.0,27,49.0,52.0,1.0,0.0,1023.7,2.3,13.7,74.0,2015-03-26
85,88.0,67.0,100.0,20,66.0,32.0,1.0,0.0,1023.5,1.5,13.2,81.0,2015-03-27
86,84.0,98.0,80.0,21,62.0,68.0,1.1,0.0,1015.8,1.5,15.0,86.0,2015-03-28
87,104.0,122.0,53.0,23,78.0,65.0,1.5,1.3,1011.9,1.5,15.6,96.0,2015-03-29
88,64.0,54.0,51.0,20,46.0,37.0,1.2,2.6,1007.3,1.8,17.6,92.0,2015-03-30
89,65.0,81.0,83.0,22,47.0,41.0,1.2,0.0,1003.3,2.4,23.8,78.0,2015-03-31
90,81.0,105.0,57.0,28,60.0,51.0,1.6,0.1,1000.8,2.3,23.6,77.0,2015-04-01
91,36.0,36.0,37.0,19,22.0,37.0,1.2,0.9,999.6,1.7,13.0,89.0,2015-04-02
92,76.0,102.0,45.0,29,43.0,49.0,1.4,1.7,1001.6,2.2,15.5,79.0,2015-04-03
93,60.0,40.0,54.0,14,43.0,29.0,1.3,1.36,1005.5,1.9,12.8,94.0,2015-04-04
94,72.0,47.0,78.0,8,52.0,24.0,1.1,1.02,1011.0,2.6,11.9,97.0,2015-04-05
95,100.0,57.0,88.0,10,75.0,26.0,1.1,0.68,1017.1,3.7,11.5,92.0,2015-04-06
96,68.0,67.0,74.0,9,49.0,22.0,0.8,0.34,1024.8,2.35,9.3,81.0,2015-04-07
97,53.0,49.0,86.0,15,38.0,37.0,0.9,0.0,1024.6,1.0,7.6,83.0,2015-04-08
98,70.0,77.0,91.0,23,51.0,53.0,1.0,0.0,1020.1,0.9,10.2,81.0,2015-04-09
99,93.0,111.0,106.0,20,69.0,64.0,1.1,0.0,1020.3,0.9,12.3,83.0,2015-04-10
100,118.0,163.0,137.0,30,90.0,87.0,1.7,0.0,1019.1,0.8,15.8,73.0,2015-04-11
101,86.0,122.0,118.0,17,46.0,42.0,0.7,0.0,1019.5,3.0,16.9,56.0,2015-04-12
102,77.0,104.0,123.0,16,28.0,42.0,0.5,0.0,1022.0,2.7,12.7,49.0,2015-04-13
103,84.0,114.0,141.0,22,45.0,49.0,0.6,0.0,1015.7,1.5,12.9,68.0,2015-04-14
104,97.0,145.0,68.0,32,73.0,79.0,1.2,1.2,1007.9,1.0,13.7,88.0,2015-04-15
105,100.0,138.0,90.0,25,75.0,54.0,1.2,0.0,1009.3,1.5,16.8,83.0,2015-04-16
106,115.0,181.0,71.0,29,76.0,56.0,1.1,0.45,1004.4,2.1,20.4,76.0,2015-04-17
107,108.0,148.0,58.0,28,82.0,64.0,1.3,0.9,1001.5,0.9,21.4,83.0,2015-04-18
108,39.0,24.0,77.0,9,22.0,23.0,0.9,0.45,1005.5,3.5,15.5,95.0,2015-04-19
109,44.0,43.0,87.0,12,27.0,27.0,0.7,0.0,1013.3,2.8,14.6,77.0,2015-04-20
110,70.0,91.0,113.0,16,49.0,62.0,0.9,0.0,1015.7,0.9,15.2,82.0,2015-04-21
111,86.0,122.0,129.0,20,56.0,79.0,0.9,0.0,1017.8,0.8,18.4,77.0,2015-04-22
112,116.0,182.0,135.0,25,76.0,88.0,1.2,0.0,1016.4,0.9,20.4,73.0,2015-04-23
113,105.0,151.0,88.0,22,79.0,77.0,1.1,0.0,1016.8,0.5,20.1,81.0,2015-04-24
114,133.0,144.3333333,180.0,24,102.0,83.0,1.5,0.0,1016.2,0.7,20.7,81.0,2015-04-25
115,119.0,137.6666667,171.0,24,83.0,81.0,1.3,0.0,1012.8,1.2,20.7,74.0,2015-04-26
116,90.0,131.0,138.0,20,64.0,49.0,0.9,0.0,1007.3,2.3,23.0,70.0,2015-04-27
117,70.0,89.0,106.0,16,51.0,35.0,0.8,0.0,1005.3,2.4,23.7,80.0,2015-04-28
118,99.0,135.0,154.0,16,74.0,31.0,1.0,0.0,1009.3,2.4,22.6,71.0,2015-04-29
119,133.0,142.0,196.0,23,58.0,56.0,1.0,0.0,1007.5,1.6,24.2,63.0,2015-04-30
120,81.0,98.0,131.0,18,60.0,47.0,1.1,0.0,1003.0,2.2,22.6,79.0,2015-05-01
121,45.0,37.0,90.0,11,24.0,23.0,0.8,0.0,1005.2,2.5,19.5,88.0,2015-05-02
122,92.0,73.0,150.0,12,47.0,35.0,0.9,0.0,1009.6,1.1,20.7,84.0,2015-05-03
123,70.0,89.0,102.0,15,51.0,46.0,0.9,0.0,1011.3,1.0,20.6,83.0,2015-05-04
124,97.0,122.0,144.0,16,73.0,59.0,1.1,0.1,1007.7,0.6,19.2,88.0,2015-05-05
125,117.0,143.0,162.0,15,88.0,59.0,1.1,0.05,1004.5,0.9,22.1,81.0,2015-05-06
126,104.0,131.0,142.0,17,78.0,48.0,1.1,0.0,1006.7,1.4,23.5,80.0,2015-05-07
127,65.0,70.0,91.0,9,47.0,35.0,1.0,0.0,1004.0,1.9,20.9,85.0,2015-05-08
128,112.0,91.0,173.0,14,51.0,55.0,1.2,0.0,1007.6,0.6,20.3,85.0,2015-05-09
129,99.0,124.0,159.0,20,73.0,50.0,1.2,0.0,1005.9,2.05,23.2,78.0,2015-05-10
130,73.0,95.0,96.0,14,34.0,25.0,0.6,2.6,1011.8,3.5,16.8,81.0,2015-05-11
131,95.0,141.0,130.0,13,38.0,31.0,0.5,0.0,1010.1,2.2,20.5,65.0,2015-05-12
132,83.0,116.0,103.0,19,43.0,44.0,0.7,0.0,1003.1,3.1,24.0,62.0,2015-05-13
133,59.0,68.0,67.0,14,29.0,38.0,0.7,0.5,1002.9,1.7,25.7,79.0,2015-05-14
134,64.0,74.0,95.0,11,46.0,34.0,1.0,0.25,1004.8,2.5,23.7,89.0,2015-05-15
135,99.0,110.0,159.0,14,61.0,31.0,1.0,0.0,1007.8,1.9,24.3,73.0,2015-05-16
136,73.0,91.0,119.0,20,53.0,37.0,0.9,1.3,1003.3,1.4,23.6,83.0,2015-05-17
137,103.0,118.0,99.0,12,78.0,52.0,1.1,0.2,1001.6,1.0,23.6,91.0,2015-05-18
138,150.0,160.0,215.0,12,104.0,60.0,1.2,0.0,1002.8,0.5,24.4,88.0,2015-05-19
139,106.0,149.0,165.0,14,80.0,57.0,1.1,0.0,1007.4,3.3,25.6,67.0,2015-05-20
140,149.0,100.0,214.0,22,36.0,44.0,0.9,0.0,1009.7,1.8,23.1,59.0,2015-05-21
141,122.0,107.0,184.0,19,48.0,40.0,0.9,0.0,1007.9,2.5,22.6,59.0,2015-05-22
142,108.0,125.0,126.0,15,82.0,50.0,0.9,0.0,1006.5,1.0,20.5,80.0,2015-05-23
143,167.0,181.0,232.0,19,87.66666667,66.0,1.3,0.0,1005.1,0.8,22.8,78.0,2015-05-24
144,174.0,149.5,163.0,28,93.33333333,92.0,1.4,0.3,1004.8,0.7,23.6,83.0,2015-05-25
145,130.0,118.0,134.0,17,99.0,41.0,1.3,0.3,1004.8,1.2,22.7,89.0,2015-05-26
146,114.0,110.0,80.0,13,86.0,41.0,1.2,0.3,1001.6,1.3,22.4,95.0,2015-05-27
147,107.0,112.0,117.0,14,81.0,43.0,1.4,0.2,999.8,1.3,24.5,89.0,2015-05-28
148,56.0,47.0,77.0,11,40.0,25.0,1.0,0.1,1001.0,2.4,21.9,94.0,2015-05-29
149,93.0,102.0,151.0,11,61.0,35.0,1.0,0.0,1004.8,1.2,24.1,84.0,2015-05-30
150,126.0,139.0,189.0,15,86.0,58.0,1.2,0.0,1004.1,1.0,25.1,84.0,2015-05-31
151,104.0,137.0,140.0,22,79.0,48.0,1.3,0.0,1000.7,1.5,26.7,78.0,2015-06-01
152,48.0,42.0,90.0,11,34.0,25.0,1.0,0.066666667,1000.2,2.6,25.1,93.0,2015-06-02
153,57.0,65.0,96.0,12,40.0,37.0,0.9,0.133333333,1006.7,1.9,23.9,80.0,2015-06-03
154,57.0,63.0,89.0,14,39.0,37.0,0.7,0.2,1007.1,1.7,21.0,84.0,2015-06-04
155,71.0,60.0,125.0,15,33.0,35.0,0.7,0.0,1005.7,1.6,21.6,84.0,2015-06-05
156,97.0,121.0,156.0,20,43.0,56.0,0.9,0.0,1003.2,1.3,25.1,77.0,2015-06-06
157,58.0,59.0,110.0,18,33.0,44.0,1.0,0.0,1003.8,1.4,21.3,90.0,2015-06-07
158,45.0,45.0,83.0,13,28.0,31.0,0.7,0.0,1003.2,0.7,22.6,91.0,2015-06-08
159,74.0,93.0,122.0,16,54.0,45.0,0.8,0.0,1002.2,1.0,23.5,90.0,2015-06-09
160,69.0,85.0,123.0,16,45.0,52.0,0.8,0.0,1000.8,1.4,25.1,86.0,2015-06-10
161,94.0,138.0,125.0,14,45.0,46.0,0.7,0.0,1003.8,2.1,27.5,66.0,2015-06-11
162,114.0,178.0,168.0,18,49.0,66.0,0.7,0.0,1003.6,1.5,25.8,75.0,2015-06-12
163,93.0,137.0,110.0,15,50.0,67.0,0.8,0.7,1001.5,0.4,27.1,84.0,2015-06-13
164,62.0,74.0,79.0,17,38.0,41.0,0.9,0.4,1003.2,1.6,26.9,78.0,2015-06-14
165,44.0,44.0,65.0,12,26.0,31.0,0.7,2.2,1003.0,1.5,25.1,90.0,2015-06-15
166,70.0,91.0,101.0,13,51.0,39.0,1.0,1.533333333,1000.5,1.4,25.1,91.0,2015-06-16
167,33.0,26.0,61.0,10,23.0,30.0,1.0,0.866666667,999.2,1.6,22.0,98.0,2015-06-17
168,88.0,58.0,145.0,9,36.0,35.0,0.9,0.2,1002.0,1.5,24.4,86.0,2015-06-18
169,116.0,82.0,178.0,14,49.0,49.0,1.2,0.0,1004.1,0.9,25.0,88.0,2015-06-19
170,92.0,106.0,150.0,17,66.0,59.0,1.2,0.033333333,1004.9,2.0,25.8,81.0,2015-06-20
171,88.0,70.0,145.0,9,61.0,27.0,1.1,0.066666667,1005.0,2.2,21.4,95.0,2015-06-21
172,82.0,63.0,138.0,11,43.0,32.0,1.0,0.1,1002.9,1.1,24.7,88.0,2015-06-22
173,101.0,82.0,161.0,14,50.0,31.0,1.1,0.0,1001.5,2.0,28.3,79.0,2015-06-23
174,55.0,52.0,106.0,12,30.0,29.0,0.7,0.55,998.8,1.8,29.5,83.0,2015-06-24
175,50.0,50.0,82.0,6,24.0,27.0,0.7,1.1,997.5,2.0,27.8,87.0,2015-06-25
176,93.0,75.0,151.0,9,35.0,42.0,1.2,0.55,997.3,1.2,27.2,86.0,2015-06-26
177,53.0,52.0,103.0,7,27.0,30.0,0.7,0.0,997.8,2.6,29.6,81.0,2015-06-27
178,73.0,76.0,127.0,9,30.0,42.0,1.1,0.0,1000.9,1.6,27.5,86.0,2015-06-28
179,67.0,83.0,119.0,9,42.0,32.0,0.9,0.0,998.1,1.9,31.7,75.0,2015-06-29
180,44.0,39.0,87.0,6,24.0,21.0,0.9,0.0,998.8,1.4,24.7,94.0,2015-06-30
181,102.0,46.0,162.0,7,26.0,26.0,0.7,0.0,998.8,1.2,25.5,82.0,2015-07-01
182,142.0,96.0,206.0,10,49.0,51.0,1.0,0.0,998.5,0.8,28.2,81.0,2015-07-02
183,73.0,97.0,125.0,11,50.0,40.0,1.0,0.3,1000.7,1.7,27.5,86.0,2015-07-03
184,73.0,58.0,127.0,10,35.0,39.0,0.8,1.8,1004.5,1.2,24.7,83.0,2015-07-04
185,81.0,64.0,137.0,9,37.0,31.0,0.7,1.4,1004.8,1.3,24.7,84.0,2015-07-05
186,50.0,41.0,100.0,9,29.0,26.0,0.6,1.2,1005.6,2.5,22.4,83.0,2015-07-06
187,72.0,44.0,126.0,10,24.0,27.0,0.6,0.0,1005.6,2.5,23.9,70.0,2015-07-07
188,110.0,86.0,171.0,10,45.0,38.0,0.8,0.0,1005.4,1.5,25.1,75.0,2015-07-08
189,71.0,72.0,125.0,9,45.0,27.0,0.7,0.0,1006.3,2.0,24.6,79.0,2015-07-09
190,49.0,44.0,98.0,10,23.0,20.0,0.7,0.0,1005.6,2.7,26.5,79.0,2015-07-10
191,51.0,53.0,74.0,8,29.0,18.0,0.6,0.0,1001.7,3.2,28.7,75.0,2015-07-11
192,76.0,77.0,131.0,8,34.0,35.0,0.7,0.0,998.7,0.9,29.2,78.0,2015-07-12
193,110.0,112.0,171.0,10,51.0,45.0,0.8,0.0,998.5,1.1,30.0,77.0,2015-07-13
194,98.0,147.0,136.0,12,70.0,57.0,1.1,0.2,997.9,1.3,30.8,80.0,2015-07-14
195,68.0,86.0,88.0,9,47.0,41.0,1.0,0.233333333,996.7,2.7,26.0,93.0,2015-07-15
196,46.0,21.0,91.0,10,20.0,23.0,0.9,0.266666667,998.7,1.7,22.9,95.0,2015-07-16
197,44.0,44.0,72.0,6,30.0,25.0,0.8,0.3,1001.1,2.3,23.2,93.0,2015-07-17
198,73.0,81.0,127.0,8,53.0,31.0,0.8,0.0,1001.8,1.0,25.9,85.0,2015-07-18
199,82.0,100.0,138.0,10,57.0,39.0,1.0,0.0,1002.6,1.4,27.6,83.0,2015-07-19
200,77.0,76.0,132.0,11,39.0,39.0,0.8,0.0,1002.8,1.6,28.5,78.0,2015-07-20
201,143.0,99.0,207.0,12,48.0,41.0,1.0,0.0,1001.9,1.3,28.3,80.0,2015-07-21
202,107.0,104.0,167.0,12,51.0,54.0,1.1,0.0,1000.6,1.1,28.5,87.0,2015-07-22
203,47.0,47.0,70.0,9,26.0,35.0,0.9,0.0,1000.3,2.0,24.4,99.0,2015-07-23
204,94.0,57.0,152.0,9,35.0,33.0,0.7,0.0,1000.7,1.1,26.8,86.0,2015-07-24
205,129.0,67.0,191.0,13,39.0,31.0,0.9,0.0,1000.1,1.2,28.1,84.0,2015-07-25
206,43.0,40.0,86.0,12,22.0,33.0,0.7,0.05,1001.7,1.3,27.2,93.0,2015-07-26
207,43.0,39.0,85.0,11,18.0,27.0,0.6,0.1,1003.5,1.9,29.6,82.0,2015-07-27
208,48.0,47.0,96.0,13,19.0,26.0,0.5,0.0,1004.2,3.1,30.5,72.0,2015-07-28
209,58.0,54.0,109.0,14,20.0,25.0,0.5,0.0,1003.4,3.6,30.8,62.0,2015-07-29
210,54.0,54.0,104.0,12,21.0,22.0,0.4,0.0,1003.2,3.3,30.8,62.0,2015-07-30
211,54.0,55.0,104.0,13,19.0,24.0,0.4,0.0,1003.1,3.3,30.8,63.0,2015-07-31
212,57.0,59.0,108.0,13,19.0,25.0,0.5,0.0,1004.2,2.6,30.9,64.0,2015-08-01
213,69.0,65.0,122.0,14,23.0,25.0,0.5,0.0,1003.9,2.666666667,31.5,62.0,2015-08-02
214,65.0,70.0,117.0,16,27.0,24.0,0.5,0.0,1002.5,2.733333333,32.1,57.0,2015-08-03
215,57.0,63.0,98.0,16,24.0,27.0,0.5,0.0,1001.6,2.8,31.3,62.0,2015-08-04
216,62.0,73.0,107.0,15,25.0,33.0,0.5,0.0,1001.0,2.9,29.7,71.0,2015-08-05
217,84.0,60.0,140.0,11,27.0,29.0,0.6,0.0,1002.4,1.2,28.2,81.0,2015-08-06
218,75.0,57.0,130.0,11,27.0,28.0,0.7,0.0,1005.0,1.7,29.8,75.0,2015-08-07
219,70.0,66.0,123.0,11,37.0,19.0,0.6,0.0,1003.8,3.4,30.1,77.0,2015-08-08
220,47.0,47.0,90.0,10,21.0,15.0,0.5,0.0,1000.8,3.3,28.6,72.0,2015-08-09
221,23.0,14.0,46.0,9,11.0,13.0,0.4,0.0,999.8,3.2,25.4,89.0,2015-08-10
222,39.0,33.0,78.0,10,17.0,18.0,0.5,0.0,1004.3,3.1,27.5,74.0,2015-08-11
223,74.0,61.0,128.0,15,26.0,36.0,0.7,0.0,1005.1,1.5,27.8,80.0,2015-08-12
224,102.0,75.0,162.0,16,33.0,38.0,0.7,0.2,1003.7,0.7,28.1,75.0,2015-08-13
225,134.0,114.0,197.0,20,56.0,47.0,0.9,0.0,1001.8,1.1,28.8,80.0,2015-08-14
226,69.0,87.0,91.0,13,45.0,42.0,0.9,0.0,1002.0,1.3,26.4,94.0,2015-08-15
227,113.0,83.0,174.0,11,46.0,41.0,0.8,0.0,1003.3,1.0,27.4,85.0,2015-08-16
228,130.0,117.0,192.0,17,59.0,57.0,1.1,0.0,1003.6,1.0,28.1,84.0,2015-08-17
229,101.0,109.0,161.0,16,62.0,35.0,1.0,0.1,1003.7,2.0,28.3,81.0,2015-08-18
230,51.0,52.0,84.0,11,28.0,26.0,0.8,0.066666667,1005.9,2.1,23.2,95.0,2015-08-19
231,67.0,47.0,120.0,10,25.0,23.0,0.5,0.033333333,1007.2,1.3,24.4,84.0,2015-08-20
232,92.0,72.0,150.0,13,35.0,49.0,0.8,0.0,1004.2,0.4,26.1,86.0,2015-08-21
233,110.0,91.0,171.0,15,39.0,53.0,0.9,0.0,1002.1,0.9,27.0,82.0,2015-08-22
234,104.0,106.0,164.0,18,51.0,40.0,0.9,0.0,1002.0,1.9,27.8,70.0,2015-08-23
235,101.0,100.0,161.0,13,55.0,23.0,0.9,0.2,1003.6,1.5,26.6,75.0,2015-08-24
236,98.0,104.0,157.0,13,60.0,34.0,0.9,0.0,1006.2,1.1,25.1,81.0,2015-08-25
237,138.0,120.0,201.0,15,62.0,54.0,0.9,0.0,1007.1,0.7,26.2,77.0,2015-08-26
238,158.0,163.0,223.0,18,77.0,69.0,1.2,0.0,1006.4,1.1,26.6,81.0,2015-08-27
239,112.0,119.0,173.0,17,63.0,50.0,1.1,0.0,1005.4,0.9,26.3,82.0,2015-08-28
240,146.0,131.0,210.0,16,68.0,56.0,1.1,0.0,1004.8,0.6,26.6,82.0,2015-08-29
241,132.0,140.0,195.0,20,66.0,65.0,1.2,0.0,1005.5,0.7,27.1,83.0,2015-08-30
242,124.0,135.0,186.0,18,65.0,60.0,1.2,0.0,1005.7,0.7,26.9,81.0,2015-08-31
243,100.0,98.0,160.0,13,54.0,35.0,0.8,0.0,1006.2,2.3,27.3,75.0,2015-09-01
244,108.0,72.0,168.0,14,38.0,24.0,0.7,0.0,1009.3,3.2,27.3,64.0,2015-09-02
245,129.0,96.0,191.0,20,47.0,38.0,1.0,0.0,1010.0,1.2,26.6,72.0,2015-09-03
